Id,Sales
1,5929.146
2,8888.167
3,12283.398
4,8410.189
5,9324.11
6,7002.9175
7,9375.817
8,9275.891
9,5740.18
10,6477.3574
11,8868.691
12,10034.18
13,8574.12
14,8439.998
15,7129.549
16,4657.3105
17,7497.2817
18,11564.167
19,12994.439
20,11181.776
21,10370.813
22,5193.6396
23,7674.176
24,4438.944
25,10005.42
26,12309.789
27,8773.006
28,7802.7725
29,6335.4316
30,5278.9775
31,5473.568
32,11475.92
33,7658.305
34,6887.7144
35,5459.8647
36,8882.77
37,4651.456
38,9961.279
39,5895.924
40,6944.3706
41,6875.9106
42,7416.3726
43,9366.564
44,6974.0303
45,6121.392
46,8711.085
47,10293.022
48,13240.015
49,7513.112
50,10961.535
51,8793.52
52,10470.949
53,8773.869
54,10770.959
55,4637.8745
56,6585.2114
57,8018.0093
58,7572.311
59,9189.864
60,9967.276
61,7371.3633
62,9994.743
63,7081.8
64,10986.908
65,5142.205
66,15337.799
67,5836.0737
68,6136.533
69,10722.673
70,6116.609
71,7553.313
72,7247.532
73,9516.861
74,7052.9224
75,5447.139
76,8184.886
77,10051.599
78,8716.105
79,6443.676
80,8606.377
81,11207.438
82,8707.174
83,6000.439
84,7993.2017
85,7341.7656
86,5796.4893
87,7879.7515
88,5200.262
89,10970.3
90,8212.047
91,8101.2974
92,9307.91
93,5637.4775
94,7670.5386
95,5382.945
96,10014.139
97,8291.514
98,5900.8867
99,6095.0415
100,7458.562
101,7305.4146
102,5899.462
103,7195.2573
104,6829.1084
105,9444.512
106,7331.771
107,5821.1016
108,8495.13
109,7631.491
110,7488.573
111,10504.168
112,10617.32
113,6001.985
114,10737.835
115,7673.5405
116,9133.708
117,11375.138
118,6221.3657
119,12890.373
120,10490.537
121,8142.753
122,7947.749
123,9159.752
124,9835.045
125,6488.404
126,3951.3528
127,5939.014
128,10200.766
129,7457.5117
130,5482.2627
131,10164.792
132,5862.2466
133,5549.5483
134,7826.7646
135,7160.32
136,10618.1455
137,9014.554
138,6950.789
139,7267.237
140,6046.154
141,8481.131
142,3929.111
143,8462.267
144,7901.233
145,10352.981
146,7529.206
147,6344.3174
148,12262.074
149,6848.7925
150,6644.2334
151,13159.748
152,8764.074
153,10425.102
154,10199.516
155,6847.1074
156,8277.932
157,5519.6265
158,9497.791
159,13541.967
160,7509.7524
161,4093.7214
162,6505.7803
163,10209.295
164,10794.858
165,6771.1665
166,8570.876
167,6874.267
168,4835.589
169,4170.447
170,6481.8037
171,8019.9824
172,9450.087
173,8314.029
174,8321.382
175,10593.66
176,11208.229
177,10365.681
178,5046.4287
179,11908.552
180,13260.296
181,6879.8047
182,9297.29
183,7612.14
184,9138.773
185,5321.8306
186,7568.1616
187,6592.172
188,11180.897
189,9080.486
190,10804.381
191,9398.391
192,7213.167
193,11102.553
194,22152.627
195,12110.988
196,7363.307
197,3688.977
198,7889.0728
199,10875.419
200,5671.362
201,14427.951
202,22633.783
203,3832.5964
204,7289.8647
205,13089.297
206,6795.521
207,10607.226
208,8230.173
209,9867.382
210,6408.4907
211,6734.1846
212,6713.7617
213,9408.455
214,9695.926
215,8141.282
216,8078.5044
217,7136.7188
218,5365.6436
219,6754.6655
220,7852.1245
221,5738.732
222,7991.659
223,9207.302
224,7726.662
225,6924.286
226,8643.755
227,8889.398
228,8448.421
229,9010.145
230,8668.492
231,7414.3867
232,4885.3057
233,8196.511
234,8537.297
235,7309.748
236,4541.0176
237,9936.37
238,8580.69
239,11157.802
240,8818.097
241,7062.1416
242,6527.8096
243,5986.521
244,12026.247
245,5333.663
246,9538.244
247,18139.9
248,9437.095
249,9027.669
250,6491.872
251,5951.282
252,8824.457
253,5237.0967
254,7252.6255
255,12219.43
256,7079.0396
257,17244.238
258,15774.907
259,6701.2305
260,8291.494
261,6737.3457
262,8772.717
263,7191.079
264,10731.898
265,9423.24
266,10918.948
267,4561.1035
268,9023.434
269,6460.145
270,8080.84
271,8555.443
272,7504.0796
273,8365.24
274,7080.234
275,10460.327
276,11464.567
277,7490.103
278,12326.469
279,8450.616
280,11514.697
281,6969.645
282,5630.353
283,7717.0176
284,12249.158
285,7747.1377
286,9706.406
287,8711.846
288,10823.662
289,6141.1665
290,10817.489
291,9085.307
292,5649.8276
293,15430.564
294,20047.387
295,7455.1543
296,8951.174
297,11229.334
298,12086.581
299,13024.282
300,6372.415
301,9205.382
302,7807.962
303,11225.804
304,5330.1924
305,7368.0728
306,7371.236
307,5807.154
308,9194.9795
309,7111.064
310,5980.271
311,9140.608
312,4049.1743
313,6549.5605
314,7761.3667
315,7757.519
316,12125.391
317,8383.64
318,7137.88
319,8177.9536
320,8626.223
321,13552.7
322,8953.432
323,6775.4937
324,4859.972
325,11662.15
326,6210.1865
327,9130.948
328,4784.721
329,6827.571
330,7896.7397
331,6672.993
332,5608.8135
333,8645.861
334,12824.789
335,13217.798
336,7778.328
337,9752.184
338,4099.97
339,6606.783
340,8699.937
341,5799.7363
342,9769.663
343,6115.512
344,6537.4487
345,10629.937
346,11960.022
347,10990.456
348,6406.934
349,6730.0605
350,10723.189
351,9797.44
352,8022.6143
353,5598.2207
354,9487.945
355,11641.458
356,6448.377
357,8367.989
358,10675.394
359,10147.424
360,15708.318
361,8382.192
362,15773.76
363,6787.3057
364,7353.7114
365,4832.919
366,7876.0425
367,6294.066
368,7253.2607
369,10289.959
370,5166.2065
371,5769.0835
372,9258.468
373,4686.168
374,7631.104
375,8789.765
376,7882.788
377,10293.899
378,6787.868
379,10916.22
380,5835.0073
381,6801.4326
382,5842.714
383,4988.6694
384,11860.376
385,9199.4795
386,6222.7656
387,8889.006
388,10236.655
389,9002.122
390,7411.962
391,10730.844
392,6816.253
393,5848.2344
394,6230.9985
395,10973.095
396,7573.463
397,8549.193
398,5980.009
399,6954.0093
400,5019.809
401,7117.97
402,8663.391
403,10640.794
404,13569.471
405,13164.987
406,10864.075
407,8150.153
408,6610.2104
409,12424.5625
410,13088.147
411,7894.3945
412,10503.003
413,9977.351
414,7035.789
415,4799.6924
416,10527.157
417,6998.365
418,9193.897
419,6480.492
420,4064.3726
421,13460.622
422,5976.8896
423,6853.076
424,6613.684
425,6958.897
426,9352.065
427,10064.888
428,7817.878
429,6645.851
430,5110.4575
431,5659.948
432,4520.0435
433,9327.489
434,19677.984
435,5671.045
436,7398.257
437,9233.722
438,7021.021
439,6974.733
440,6568.4424
441,5703.4414
442,8324.567
443,8476.657
444,3993.811
